Landmark,Full_Adress,Time
 SANTOSH NAGAR COLONY," MIGH House No. 7/A, Bearing G.H.M.C No. 17-1-A/7, Ward: 17-Block, MIGH, Santosh Nagar Colony,Hyderabad,Andhra Pradesh-500059",11 AM to 11 PM 
" BOD UPPAL, HYDERABAD"," Ground and First Floor, Plot No. 06,Southern Part in Survey No.54(A) at Peerzadiguda (V & GP),Ghatkesar Mandal, Ranga Reddy District under S.R.O Bod Uppal,HyderabadPh No 040-27219888",11 AM to 11 PM 
 THE FORUM SUJANA MALL, THE FORUM SUJANA MALL GROUND FLOOR UNIT NO 22&23 CITY KUKKATPALLY HYDERABAD TELANGANA500072 Ph-040-30534111,11 AM to 11 PM 
" INORBIT, HYDERABAD"," Second Floor, Inorbit Cyberabad, Survey no. 64 (part), Madhapur Village, Serilimgampally Mandal Ranga Reddy District,Hyderabad",11 AM to 11 PM 
 MOTINAGAR HYDERABAD, Ground Floor Plot No 145-BSurvey Nos 19&20 MotinagarOpposite E Seva Hyderabad Telangana-500018,11 AM to 11 PM 
 ANANDBAGH(MALKAJGIRI)," Ground and First Floor, Plot No.46, Tulip Mantion, East Anandbagh, Malkajgiri, Hyderabad, Telangana-500047",11 AM to 11 PM 
" MEHDIPATNAM,HYDERABAD"," Ground Floor,Door/MCH.No.10-3-76,Humayun Nagar,Mehdipatnam,Hyderabad–500028",11 AM to 11 PM 
" RAHEJA MINDSPACE IT PARK  2,HYDERABAD", Ground Floor Food Court Counter no 05Building No 20 at SEZ Campus K Raheja Mind space IT ParkHi Tech City Madhapur VillageHyderabad Telangana 500081,11 AM to 11 PM 
" NAGARJUNA NAGAR COLONY,HYDERABAD"," First Floor, H.No.1-10-28/155,Nagarjuna Nagar Colony,Kushaiguda (V) Keesara Mandal,GHMC Kapra Circle,RR.District Hyderabad,Telangana PIN-500062",11 AM to 11 PM 
 NIZAMPET VILLAGE HYDERABAD TELANGANA, Domino’s Pizza Ground & 1st Floor Shop No 1 & 2Plot No 2Panchsheel ComplexNizampet village Quthbullapur MandalRanga Reddy District HyderabadTelangana-500090,11 AM to 11 PM 
" PRASAD MALL,HYDERABAD,TELANGANA"," Ground Floor,Counter number 2,Food Court,Buddha Poornima Project Area,Near NTR Gardens,LIC Division P.O.,Hyderabad,Telangana– 500063",11 AM to 11 PM 
" DIVYASREE ORION,HYDERABAD,TELANGANA"," Ground Floor Lobby,Building 7,Divyasree Orion,SY.NO.66/1,Raidurg,Ranga Reddy District,Hyderabad,Telangana- 500008",11 AM to 11 PM 
 PEARL PLAZA KONDAPUR VILLAGE TELANGANA, First Floor “Pearl Plaza” Sy.No.199 Masjid Banda Kondapur Village Hyderabad RR District PIN 500084 Landline 04040488888,11 AM to 11 PM 
 INFOSYS POCHARAM VILLAGE  HYDERABAD TELANGANA, Infosys Limited Special Economic Zone Survey No. 50 (part) 51 54 49 48 44& 45 part41 part36part Pocharam Village Singapore Township PO Ghatkesar Mandal Rangareddy Hyderabad 500088,11 AM to 11 PM 
" PILLALAMARRI VILLAGE, SURYAPET MANDAL, TELANGANA"," 7 Food Court, Suryapet, D. NO. 6-107, Rayanigudem Village, Suryapet Mandal, At 135km Milestone, Hyderabad Vijayawada Highway, Nalgonda",11 AM to 11 PM 
" EAT STREET, NECKLACE ROAD, HYDERABAD, TELANGANA"," Ground Floor, Eat Street Food Court, Counter No. 4, T.S. No. 5, Block B, Ward 80, Opposite Lake Police Station, Necklace Road",11 AM to 11 PM 
" MANTRA MALL,HYDERABAD,TELANGANA"," Third Floor,Mantra Mall,Survey No.30,Upperpally Village,Rajendra Nagar,RR. District,Hyderabad– 500030,Telangana",11 AM to 11 PM 
" Mantra Mall, Hyderabad, Telangana"," Counter No. 1, Third Floor, Mantra Mall, Survey No. 30, Attapur Upperpally Village, Rajendra Nagar, RR. District",11 AM to 11 PM 
 MOOSAPET HYDERABAD, 1st Floor H No 12-7-134/B1 Plot No B1 & B2 Anjaneya Nagar Moosapet Hyderabad Telangana 500018,11 AM to 11 PM 
 AYYAPPA HEIGHTS  GACHIBOWLI HYDERABAD, Ayyappa Heights Commercial premises bearing no 4-33 on 1st Floor of the building situated at Gachibowli Opp DLF Hyderabad pin code 500032,11 AM to 11 PM 
 R C REDDY COMPLEX UPPAL HYDERABAD, R C REDDY COMPLEX UPPAL HYDERABAD First Floor R C Reddy Complex 2-1-57/A/ 39 & 40 Ventateshwara Colony Uppal Hyderabad 500039 ph 040-42428383,11 AM to 11 PM 
 NALAGANDLA HYDERABAD, First Floor Plot NO 9/C Nallangandla Village Under GHMC Serilingampally Mandal Opposite Apama Cyber Ranga Reddy District Hyderabad Telangana-500019 ,11 AM to 11 PM 
 M. A. PLAZA ASHOK NAGAR TELANGANA, M.A Plaza Ashok Nagar  Ground floor plot no 6 surv situated at Ashok Nagar colony Medak district Sanga Reddy  Pin code 502032  Ramachandrapuram,11 AM to 11 PM 
 ELITE COMMERCIAL COMPLEX PRAGATHI NAGAR, Elite Commercial Complex  Plot No 1534 & 1535 in Block No 95 Survey No 165 166 167 178 & 179 situated at Bachupally Village Pragathi Nagar Gram Panchayat Quthbullapur Mandal Ranga Reddy District 500090  Telangana,11 AM to 11 PM 
 PAPULAGUDA," First Floor, House No. 1-99/3, Plot No. 3, Survey No. 198/2, Manikonda,Near Mari Chettu, Puppalguda, Hyderabad-500098",11 AM to 11 PM 
 Gar Laxmi Infobhan Hyderabad, Counter No 4  17th  Floor Tower 1 situated in Survey No 107  Kokapet Village Rajendra Nagar Mandal Ranga Reddy District Telangana  500075,11 AM to 11 PM 
 MJR MALL AND MULTIPLEX NARAPALLY, FOOD COUNTER 2 2ND FLOOR  MJR MULTIPLEX  SY  NO 757 IN KORREMUL VILLAGE GHATKESAR MANDAL  MEDCHAL MALKAJGIRI DISTRICT OF HDMA HYDERABAD TELANGANA 501301,11 AM to 11 PM 
 CENTRAL PUNJAGUTTA HYDERABAD, Unit No FB 7 at Ground Floor Central Punjagutta At G S Center Point Punjagutta X Road Municipal No 6 3 673 673 1 674 674 1 Panjagutta Hyderabad 500003,11 AM to 11 PM 
" Bachupally, Hyderabad, Telangana"," Shop Nos.5,  6 & 7,  Ground Floor, Block-B,  Survey No.60, Medchal,  Pagadala Pride, Bachupally Main Road, Hyderabad, Telangana, 500090",11 AM to 11 PM 
 Seri Lingampally (Andhra Pradesh)," ""R3 Icon"", Ground Floor,  6-8,  New Municipal House No. 6-8/A,  , Dargah Hussian Shah Wali Village,  , Seri Lingampally Mandal And Municipal, Ranga Reddy District, Hyderabad, Telangana, 500008",11 AM to 11 PM 
 Sarath City Capital Mall," ""Unit No. 4F-Fc-17 On The Fourth Floor, Constructed At Survey No. 38,  39P,  40,  41,  42,  48,  49,  50,  51,  52 & 53 Situated At Kothaguda Village , Serilingampally Mandal,  R. R. District,  Hyderabad, 0, Hyderabad, Telangana, 500084""",11 AM to 11 PM 
 Srilingampally (Andhra Pradesh)," Upper Ground Floor, Plot No. 85,  Survey No. 103/1,  , ""Serilingampally Village"" Under Ghmc,  , Serilingampally Mandal,  Ranga Reddy District,  , Hyderabad, Telangana, 500032",11 AM to 11 PM 
" Malaysian Township, Hyderabad"," Ground Floor,  House No.577/ Mig-Ii, Malaysian Township,  Sy.No-15-24-577, A.P.H.B Colony Phase I And Ii, Kukatapplay R.R. District,  Hyderabad, Hyderabad, Telangana, 500072",11 AM to 11 PM 
" Kokapet, Hyderabad"," Ground Floor,  G1 And G2, Survey No. 131,  164,  165 & 168, Plot No. 10 & 11,  Narsinghi Village & Gram Panchayat, Rajendranagar Mandal,  Ranga Reddy District, Hyderabad, Telangana, 500075",11 AM to 11 PM 
 L &T Mall," ""Food Court,  Unit No.-4,   5Th Floor,  L & T Mall,   , Survey No. 1/1,  1/2,  1/3,  3/2,  6/1 & 6/2,  , Ward No. 89,  Situated At Punjagutta (Hyderabad),   Telangana-500082, Hyderabad, Telangana, 500082""",11 AM to 11 PM 
" Kondapur, Hyderabad"," First Floor,  Plot No. 122 & 123,  , Sy. No. 19,  At Ravi Enclave,  , Kondapur Village,  Serilingampally Mandal,  , R. R. District, Hyderabad, Telangana, 500084",11 AM to 11 PM 
